CONTENT,SPAM
Still i have not checked it da. . .,0
Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,0
"\Hey! do u fancy meetin me at 4 at cha åÐ hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x\""""",0
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,1
ÌÏ got wat to buy tell us then Ì_ no need to come in again.,0
Nah im goin 2 the wrks with j wot bout u?,0
Great! So what attracts you to the brothas?,0
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,1
"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",0
Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,0
Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,0
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,0
All day working day:)except saturday and sunday..,0
URGENT We are trying to contact you Last weekends draw shows u have won a å£1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,1
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0
He also knows about lunch menu only da. . I know,0
PICK UR FONE UP NOW U DUMB?,0
"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order",0
I want snow. It's just freezing and windy.,0
So what about you. What do you remember,0
"Yo, the game almost over? Want to go to walmart soon",0
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,1
Just got outta class gonna go gym.,0
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",1
Really do hope the work doesnt get stressful. Have a gr8 day.,0
I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night,0
we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,1
"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr""",0
Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,1
"Haha get used to driving to usf man, I know a lot of stoners",0
"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",0
"Sorry,in meeting I'll call later",0
"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",0
Tell me something. Thats okay.,0
"Sorry man, my stash ran dry last night and I can't pick up more until sunday",0
What happened in interview?,0
\Keep ur problems in ur heart,0
Give one miss from that number please,0
"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",0
Really dun bluff me leh... U sleep early too. Nite...,0
"If you want to mapquest it or something look up \usf dogwood drive\""",0
"Cool, text me when you're ready",0
"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",0
K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,0
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,0
"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",1
I will reach before ten morning,0
How do you guys go to see movies on your side.,0
That one week leave i put know that time. Why.,0
SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,0
"Its good, we'll find a way",0
Ok thanx...,0
"\I;m reaching in another 2 stops.\""""",0
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,0
Is there coming friday is leave for pongal?do you get any news from your work place.,0
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",1
What Today-sunday..sunday is holiday..so no work..,0
I think asking for a gym is the excuse for lazy people. I jog.,0
No plans yet. What are you doing ?,0
Hmmm.but you should give it on one day..,0
Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,1
Okie but i scared u say i fat... Then u dun wan me already...,0
We still on for tonight?,0
Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,0
Sweet heart how are you?,0
What you did in  leave.,0
"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",1
"Dude u knw also telugu..thts gud..k, gud nyt..",0
happened here while you were adventuring,0
Bbq this sat at mine from 6ish. Ur welcome 2 come,0
Yeah just open chat and click friend lists. Then make the list. Easy as pie,0
Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,0
* Am on my way,0
My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,0
Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!,0
Did you get any gift? This year i didnt get anything. So bad,0
Ok. So april. Cant wait,0
"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",0
i see. When we finish we have loads of loans to pay,0
"I call you later, don't have network. If urgnt, sms me.",0
No b4 Thursday,0
How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),1
You all ready for * big day tomorrow?,0
You busy or can I come by at some point and figure out what we're doing tomorrow,0
"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",0
Ringtone Club: Gr8 new polys direct to your mobile every week !,1
"No, I was trying it all weekend ;V",0
You will be in the place of that man,0
"Cool, I'll text you in a few",0
Today am going to college so am not able to atten the class.,0
Good morning princess! Happy New Year!,0
Cuz ibored. And don wanna study,0
Good. No swimsuit allowed :),0
I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,0
Thanks chikku..:-) gud nyt:-*,0
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",1
Near kalainar tv office.thenampet,0
Its not the same here. Still looking for a job. How much do Ta's earn there.,0
* Will be september by then!,0
"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",0
This message is brought to you by GMW Ltd. and is not connected to the,1
I need details about that online job.,0
Send to someone else :-),0
Anything lor if they all go then i go lor...,0
Also hi wesley how've you been,0
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,0
That's cause your old. I live to be high.,0
I am waiting machan. Call me once you free.,0
"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",1
Bognor it is! Should be splendid at this time of year.,0
God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,0
I dun believe u. I thk u told him.,0
yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,0
No rushing. I'm not working. I'm in school so if we rush we go hungry.,0
Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,0
* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,0
I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,0
U repeat e instructions again. Wat's e road name of ur house?,0
I will reach ur home in  &lt;#&gt;  minutes,0
Yes we are chatting too.,0
Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,1
Headin towards busetop,0
U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?,0
No. Did you multimedia message them or e-mail?,0
Wah lucky man... Then can save money... Hee...,0
No need lar i go engin? Cos my sis at arts today...,0
ÌÏ called dad oredi...,0
"As usual..iam fine, happy &amp; doing well..:)",0
Unni thank you dear for the recharge..Rakhesh,0
Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,0
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",0
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,1
Thank You meet you monday,0
Am i that much bad to avoid like this?,0
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,1
08714712388 between 10am-7pm Cost 10p,1
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",0
Mm feeling sleepy. today itself i shall get that dear,0
Ok both our days. So what are you making for dinner tonite? Am I invited?,0
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,0
IÛ÷m going to try for 2 months ha ha only joking,0
I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...,0
"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",0
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1
Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,0
You have 1 new voicemail. Please call 08719181503,1
Wewa is 130. Iriver 255. All 128 mb.,0
"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! ",0
Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar,0
Hi.:)technical support.providing assistance to us customer through call and email:),0
\Hey j! r u feeling any better,0
Hey you told your name to gautham ah?,0
"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",0
"Garbage bags, eggs, jam, bread, hannaford wheat chex",0
"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",0
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1
"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",0
Maybe you should find something else to do instead???,0
Ooooooh I forgot to tell u I can get on yoville on my phone,0
I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,0
Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,1
Are u awake? Is there snow there?,0
twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,0
Did u receive my msg?,0
Much better now thanks lol,0
You can jot down things you want to remember later.,0
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,1
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,1
For sale - arsenal dartboard. Good condition but no doubles or trebles!,1
Okie...,0
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",0
"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",0
Those ducking chinchillas,0
"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",1
Poor girl can't go one day lmao,0
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,0
Have you had a good day? Mine was really busy are you up to much tomorrow night?,0
"Jay told me already, will do",0
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0
I will vote for wherever my heart guides me,0
Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,0
As if i wasn't having enough trouble sleeping.,0
"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",0
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0
Actually getting ready to leave the house.,0
It has issues right now. Ill fix for her by tomorrow.,0
I guess it is useless calling u 4 something important.,0
Gibbs unsold.mike hussey,0
R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,0
Stop the story. I've told him i've returned it and he's saying i should not re order it.,0
"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",0
"Yo, you at jp and hungry like a mofo?",0
"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",0
I'm done oredi...,0
Then anything special?,0
"When you just put in the + sign, choose my number and the pin will show. Right?",0
Well. You know what i mean. Texting,0
Aiya we discuss later lar... Pick Ì_ up at 4 is it?,0
I am in bus on the way to calicut,0
And now electricity just went out fml.,0
Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x,0
I want to be inside you every night...,0
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,0
Where is that one day training:-),0
Ha... U jus ate honey ar? So sweet...,0
"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.",0
I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,0
K k pa Had your lunch aha.,0
I'm job profile seems like bpo..,0
Only once then after ill obey all yours.,0
"Lets use it next week, princess :)",0
Its sarcasm.. .nt scarcasim,0
"Thanks, I'll keep that in mind",0
K.then any other special?,0
Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,0
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0
"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",0
Thanks for sending this mental ability question..,0
Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,0
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",1
Will you come online today night,0
I'm not sure if its still available though,0
Yeah but which is worse for i,0
K..k:)where are you?how did you performed?,0
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1
Ok... The theory test? when are Ì_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,0
No that just means you have a fat head,0
"Hey babe, my friend had to cancel, still up for a visit ?",0
You do your studies alone without anyones help. If you cant no need to study.,0
From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,0
"Jus chillaxin, what up",0
No my mum went 2 dentist.,0
Nvm it's ok...,0
"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. ",0
Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,0
"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16",1
"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",0
So no messages. Had food?,0
Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE,0
Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,1
Ard 515 like dat. Y?,0
Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA,1
Please da call me any mistake from my side sorry da. Pls da goto doctor.,0
Morning only i can ok.,0
Yup... How Ì_ noe leh...,0
If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),0
What type of stuff do you sing?,0
" says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",0
Nice.nice.how is it working?,0
Dont you have message offer,0
Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,0
Ok...,0
URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,1
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1
Ya it came a while ago,0
"Yes, princess. Are you going to make me moan?",0
No..but heard abt tat..,0
I'm serious. You are in the money base,0
Then why you not responding,0
"Trust me. Even if isn't there, its there.",0
Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,0
Dont put your phone on silent mode ok,0
They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,0
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,0
Hey i've booked the 2 lessons on sun liao...,0
Pls speak with me. I wont ask anything other then you friendship.,0
I just cooked a rather nice salmon a la you,0
"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",1
Todays Voda numbers ending with 7634 are selected to receive a å£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,1
Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),0
What happen to her tell the truth,0
"K give me a sec, breaking a  &lt;#&gt;  at cstore",0
"Sorry, I'll call later",0
I borrow ur bag ok.,0
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",1
"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",1
I've got it down to a tea. not sure which flavour,0
But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,0
Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,0
Howz pain.it will come down today.do as i said ystrday.ice and medicine.,0
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",0
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,0
Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,1
LOL ... Have you made plans for new years?,0
"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",0
You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,0
Tmr timin still da same wat cos i got lesson until 6...,0
Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,0
Oh yah... We never cancel leh... Haha ,0
"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\""""",0
"Almost there, see u in a sec",0
She.s find. I sent you an offline message to know how anjola's now.,0
"Sorry, I'll call later",0
But i juz remembered i gotta bathe my dog today..,0
"Could you not read me, my Love ? I answered you",0
You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,1
He needs to stop going to bed and make with the fucking dealing,0
Or Ì_ go buy wif him then i meet Ì_ later can?,0
Yup ok thanx...,0
From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost å£1.50 min MobcudB more,1
No shoot me. I'm in the docs waiting room. :/,0
"G says you never answer your texts, confirm/deny",0
"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",0
If You mean the website. Yes.,0
Dunno lei he neva say...,0
His frens go then he in lor. Not alone wif my mum n sis lor.,0
"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",0
Can you say what happen,0
Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,0
You have 1 new voicemail. Please call 08719181513.,1
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,0
Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,0
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0
RCT' THNQ Adrian for U text. Rgds Vatian,1
Happy New Year Princess!,0
Yup but it's not giving me problems now so mayb i'll jus leave it...,0
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1
Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,1
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1
K do I need a login or anything,0
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",1
U 2.,0
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",0
Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,0
"Yeah I am, so I'll leave maybe 7ish?",0
Me sef dey laugh you. Meanwhile how's my darling anjie!,0
"Sorry, I'll call later",0
How i noe... Did Ì_ specify da domain as nusstu... ÌÏ still in sch...,0
Ill be at yours in about 3 mins but look out for me,0
Hey are you angry with me. Reply me dr.,0
I want to lick your pussy now...,0
"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",0
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,0
"Damn, can you make it tonight or do you want to just wait til tomorrow",0
Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,0
Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,0
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,1
\Hey sorry I didntgive ya a a bellearlier hunny,0
Shant disturb u anymore... Jia you...,0
Have a nice day my dear.,0
S now only i took tablets . Reaction morning only.,0
Horrible bf... I now v hungry...,0
I place all ur points on e cultures module already.,0
"aight we can pick some up, you open before tonight?",0
FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,1
"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",0
Is that on the telly? No its Brdget Jones!,0
Love you aathi..love u lot..,0
How much is blackberry bold2 in nigeria.,0
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,1
"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",0
You have 1 new message. Please call 08718738034.,1
Sure! I am driving but will reach my destination soon.,0
"(And my man carlos is definitely coming by mu tonight, no excuses)",0
No problem. Talk to you later,0
You flippin your shit yet?,0
I'm not. She lip synced with shangela.,0
"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",0
Your brother is a genius,0
Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,0
\alright babe,0
Wat's my dear doing? Sleeping ah?,0
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",0
Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,0
"Sorry, I'll call later",0
By monday next week. Give me the full gist,0
Oh ok wait 4 me there... My lect havent finish,0
Hi! This is Roger from CL. How are you?,0
On ma way to school. Can you pls send me ashley's number,0
I re-met alex nichols from middle school and it turns out he's dealing!,0
"Haha, that was the first person I was gonna ask",0
I gotta collect da car at 6 lei.,0
I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,0
"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",1
3. You have received your mobile content. Enjoy,1
The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,0
Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,0
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,0
Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,0
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",0
watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,0
"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",0
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,0
Good. Good job. I like entrepreneurs,0
You getting back any time soon?,0
Check with nuerologist.,0
No let me do the math. Your not good at it.,0
 &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,0
You sure your neighbors didnt pick it up,0
